Gene.symbol	Gene.ID	adj.P.Val	logFC
ROPN1L	83853	0.301091138055645	0.910076283333336
		0.301091138055645	-0.509254342555556
		0.301162802914867	-0.640871029166665
HIST1H1T	3010	0.301162802914867	-1.15520284161111
		0.301162802914867	-0.190505105555556
UBE2H	7328	0.301162802914867	-0.664137539166664
C10orf95	79946	0.301253244921148	-0.5280726665
HNRNPCL1///HNRNPC	343069///3183	0.301321442921103	0.428922512722224
		0.301321442921103	0.501284924166669
NCR3LG1	374383	0.301321442921103	0.872704256777778
		0.301321442921103	-0.423871599999998
MAGOH	4116	0.301352712767036	-0.810299675888891
MIR197	406974	0.301352712767036	-0.497210650722223
LINC01152	102606463	0.301360575902058	-0.230490800555556
HTR3B	9177	0.301392499924755	-0.420282433611111
		0.301632287433432	-0.195563230611111
SLC17A5	26503	0.30167292443015	-0.425280588499999
SLC35G2	80723	0.301694092291836	-0.520923547055555
LOC102724652///CRYAA	102724652///1409	0.301694092291836	0.411098799277779
PAFAH2	5051	0.301702631006992	-0.545578628611112
IFNB1	3456	0.301726617406633	0.315197885944444
P4HTM	54681	0.301726617406633	-0.404186668833334
		0.301770013797278	1.16111913083333
		0.301822806176817	-1.01221885877778
		0.301827604401522	-0.669630883499999
FAM24B-CUZD1///CUZD1	100533195///50624	0.301959017358616	-0.577249870944444
ATP1B4	23439	0.302062653920843	-0.379664965666668
TFCP2L1	29842	0.302062653920843	0.570973443333334
CYTIP	9595	0.302089955140571	0.78052874011111
GPR179	440435	0.302211552257172	0.363410889055557
MLIP	90523	0.302211552257172	0.3042286005
		0.302211552257172	-0.582478095888888
TWISTNB	221830	0.302249935439666	0.629333130611107
		0.302521142668383	0.5547104245
HELB	92797	0.302521142668383	0.43179266738889
		0.302521142668383	-0.398617235222222
KBTBD13	390594	0.302521142668383	0.554435293055555
		0.302521142668383	1.15275717572222
		0.302521142668383	-0.86518935488889
MIR182	406958	0.302521142668383	-0.478538654666667
MRPS14	63931	0.302521142668383	-0.672232511722225
		0.302578267091871	-0.757457090055555
FAM27B///FAM27C	100133121///100132948	0.302619834212239	-0.964977916333336
AFDN	4301	0.302619834212239	-0.877509961944444
		0.302619834212239	0.281331518055555
		0.30266883694284	-0.630342901833333
ITGA2	3673	0.302804847150186	-0.844009581388889
CYP1A1	1543	0.302804847150186	-0.364765680333333
AARS2	57505	0.302804847150186	0.373818837500002
TMEM2	23670	0.302851330580134	-0.713528875999999
		0.302953317503928	-1.14478668783333
BORCS7-ASMT///BORCS7	100528007///119032	0.302985211988633	0.498851343888888
		0.303029824274983	0.691059211944445
MYCL	4610	0.303076392846711	0.720618427055555
GDF6	392255	0.303076392846711	0.525096083111112
KANK2	25959	0.303076392846711	0.506302682166668
HK3	3101	0.303181926472772	1.07448358472222
DFNA5	1687	0.303221585244149	0.568313414500001
CYP4A22	284541	0.303221585244149	-0.568053322444445
SMIM20	389203	0.303252821516043	-0.478659075277778
MXI1	4601	0.303252821516043	0.470819884555559
TRIM56	81844	0.303252821516043	-0.428926177666668
		0.303252821516043	0.380834432833333
NCKAP5L	57701	0.303252821516043	0.422821924166666
		0.303252821516043	0.45429864066667
		0.303252821516043	0.560286994833334
		0.303304727164221	-0.526224466555556
		0.303328897526452	-0.566255670944443
C15orf57	90416	0.303366810581074	0.481494295666665
CEP290	80184	0.303366810581074	-0.547429863777779
LRAT	9227	0.303366810581074	-0.382443366333333
RGL4	266747	0.303366810581074	-0.333206605611112
		0.303414264096439	0.608995689666669
		0.303454215098257	0.441380418888892
SLC6A8	6535	0.303514566363219	0.610447147222223
MORN2	729967	0.303633338327181	0.829997989722222
LOC100506557	100506557	0.303633338327181	0.364537039555556
C19orf67	646457	0.303633338327181	0.386342055611111
		0.303633338327181	-0.416134833333336
		0.303709840091697	0.657225819111111
		0.303745378009504	-0.551050102777779
		0.303849401926544	0.839678735055555
		0.303921285648769	0.679940147555554
		0.30393123691557	-0.949314140333334
		0.30393123691557	-0.795153135611112
SPANXN1	494118	0.304047057154847	-0.442884684166668
HUWE1	10075	0.304303312091429	0.363108318944446
XRCC1	7515	0.30441946841897	0.627537194333333
		0.304482446691036	-0.709214872777777
TMED1	11018	0.304482446691036	0.408951764444444
CRYL1	51084	0.304482446691036	-0.508768406111112
OR10C1	442194	0.304482446691036	0.513100223222222
NMT2	9397	0.304482446691036	-0.690661367944444
EMC2	9694	0.304523278132394	-0.677365848666666
TRIM9	114088	0.304571323891565	-0.416187804666666
		0.304578875652143	0.838417019388887
NMT1	4836	0.304671327398612	0.316757250388892
SH3RF3	344558	0.304682467665685	0.489059070555554
RHD	6007	0.304765817314821	1.03346645688889
FUT11	170384	0.304844830685797	0.442631893000001
		0.304952704717066	-0.243211667222219
HAUS8	93323	0.305092154013225	0.500602761888888
		0.305092154013225	-0.212572496944445
CHD3	1107	0.305092154013225	-0.487798471944445
CHUK	1147	0.305275039875915	0.542930981277778
HOXA1	3198	0.305275039875915	0.62710564988889
GRINA	2907	0.305275039875915	0.381530983222223
WDFY3	23001	0.305275039875915	0.734379625055555
PIRT	644139	0.305275039875915	0.458146285055556
		0.305368044086491	-0.768028935222223
		0.30544171785789	-0.726162434277779
TOMM40	10452	0.30544171785789	0.539985048055553
QRICH2	84074	0.30544171785789	0.418800555722221
		0.305447631511082	-0.877578100944446
		0.305508902774635	-0.470327085611111
MAG	4099	0.305508902774635	0.429953399722222
ZMAT1	84460	0.305508902774635	-0.916661819055555
		0.305536300971902	0.301559390444445
CACFD1	11094	0.305536300971902	0.569923442777777
GHDC	84514	0.305536300971902	0.366035537
CD53	963	0.3056718596775	0.481634697666667
KDM4A	9682	0.305675991741501	-0.552950834277778
ZNF503	84858	0.305712342153677	0.512432114444445
		0.305936480605951	0.802996171222222
		0.30595021989732	0.515284387722223
DDX55	57696	0.30595021989732	-0.692197005944444
TRAPPC13	80006	0.30595021989732	0.621661318388888
WDR83OS	51398	0.30595021989732	-0.384910949499999
SUMO4///SUMO2	387082///6613	0.306091789658661	-0.472893861888888
		0.306091789658661	-0.384196678722223
MIR22HG	84981	0.306251009129356	0.758690716111113
TWSG1	57045	0.306348717304162	-0.700898842999998
		0.30641044865782	1.09072284566667
OPHN1	4983	0.30641044865782	-0.516902542944446
TAS2R14	50840	0.30641044865782	-0.774641538166668
		0.30641044865782	-0.466335418500001
LOC100132319	100132319	0.30641044865782	-0.527344970055555
ODF1	4956	0.306435703717203	-0.429520874944445
		0.306438893299487	0.537208471444444
NCOA5	57727	0.306438893299487	-0.454680828277776
TMEM68	137695	0.306455570432816	-0.606983783611111
GSTT2B///GSTT2	653689///2953	0.306455570432816	-0.416370390777779
		0.306455570432816	-1.00536524272222
GNG2	54331	0.306455570432816	0.835478584833334
ZDHHC19	131540	0.306540864100444	0.30729278227778
		0.306553401427689	-0.190970078333333
MBTD1	54799	0.306567929412864	-0.550042112388888
HSD17B2	3294	0.306622793546882	0.459360520277778
TTC21A	199223	0.306622793546882	0.418837257277778
CYS1	192668	0.306622793546882	-0.512612447888889
LRP2BP	55805	0.306638904861746	-0.345763756111111
TMEM56-RWDD3///RWDD3	100527978///25950	0.306641340883013	-0.621228893388889
SEMA3D	223117	0.306641340883013	0.541624310055556
		0.306815626132429	-0.48393722833333
RSL24D1	51187	0.306862353954658	-0.774176370444446
		0.306893690014718	1.43500163583333
MYOM2	9172	0.306914590459778	0.501619119055556
ARID4B	51742	0.306914590459778	-0.519101300388887
		0.306914590459778	-0.450201115333334
		0.307116177254837	1.38868763677778
		0.307116177254837	-0.905002690000001
		0.307236945017934	-0.406894964944446
UBE3C	9690	0.307236945017934	0.246751000277778
HS1BP3	64342	0.307236945017934	0.299481893111111
		0.307236945017934	-0.91662088
PRPF39	55015	0.307250934383091	-0.525407667777776
		0.307357626066008	0.388313783888888
STOM	2040	0.307365729964492	0.704919273333335
		0.307383980621559	-0.594174975166667
UNC93A	54346	0.307400016484409	0.488160347000002
TP53INP2	58476	0.307440618649884	0.568286406666666
PALM	5064	0.30746050641754	-0.532048883777779
GPRIN1	114787	0.30746050641754	0.492863106444444
CLK4	57396	0.30746050641754	-0.575038838777777
		0.30746050641754	0.519996804277779
ENTPD5	957	0.307518217778551	0.55776855838889
GPR63	81491	0.307518217778551	-0.612163416833333
PITPNM2	57605	0.307606789779284	-0.393285186388889
DEFB108B	245911	0.307633969120637	-0.370661397444445
PTPRN2	5799	0.307694087819102	0.479959671777777
DDX60	55601	0.307764816273289	-0.746782489277777
KIF3A	11127	0.307819267365131	-0.551562259500002
GDPD4	220032	0.307819267365131	0.384604503222223
TFAP2C	7022	0.307824239674907	0.335589098555555
		0.307826204731696	0.265754211
		0.307882902803825	0.575028739611112
		0.307882902803825	-0.435238451277778
		0.307882902803825	-0.727494423666667
LSM14B	149986	0.307893411883066	0.73894353572222
		0.307893411883066	-0.607339668388889
ROBO1	6091	0.307926993174059	-0.797152837833334
PMFBP1	83449	0.307926993174059	0.822884874166667
POLR2H	5437	0.30800282899393	0.801973418166665
		0.308164719526765	-1.097349407
		0.308293449855345	0.424907206111111
CYP26A1	1592	0.308293449855345	-0.370700799888888
TNFSF15	9966	0.308293449855345	0.44511076161111
RNF123	63891	0.308293449855345	0.426006821111113
IGSF21	84966	0.308396574109164	-0.396727586111111
NF1	4763	0.308396574109164	-0.654322733833332
		0.308396574109164	-1.17945901466667
GAL	51083	0.308396574109164	0.457907324
		0.308482558855188	-0.239216920333333
		0.308482558855188	-0.470650117055555
RWDD2A	112611	0.30849354279979	-0.652987144833334
ZDHHC2	51201	0.308796766402302	-0.681933502888888
PYGM	5837	0.308796766402302	0.343787736499999
		0.309031230391697	-0.861959202499999
FABP12	646486	0.309031230391697	-0.361836722444445
MOBP	4336	0.309404880738577	-0.360969910722221
		0.309485795792963	-1.04144038522222
TAP1	6890	0.309553336223742	-0.433767278722224
PDGFD	80310	0.30959507788474	-1.12152958761111
AHCTF1P1///AHCTF1	285116///25909	0.30959507788474	0.426585598888887
NME2	4831	0.309610137045491	0.833830700722221
CDH17	1015	0.309610137045491	0.249497389444445
		0.309789574887483	-0.847835166333334
GPN2	54707	0.309797317734633	0.359355358611112
ADI1	55256	0.309837582239522	0.919124361722222
CLIC2	1193	0.309850315110824	-0.942303401166668
KISS1	3814	0.309863600539909	-0.421722105111111
SLC2A3	6515	0.310025533402558	1.00855947438889
DYRK4	8798	0.310025533402558	0.341097806277777
LOXL4	84171	0.310025533402558	-0.407777349388888
NSG1	27065	0.310025533402558	0.413030064499999
TMEM207	131920	0.310036949637209	0.342337959222221
PIP4K2B	8396	0.310131610188597	-0.385269760500002
		0.310187392974526	-0.464651665999998
		0.310293279958053	-0.436646033944443
C12orf60	144608	0.310293279958053	-0.380070273388888
TAF1	6872	0.310293279958053	-0.333784119888889
CTRL	1506	0.310377982909948	0.382773737444446
		0.310422110495323	-0.533355142166667
ENPEP	2028	0.31064969010238	-0.399033079388889
		0.310680582850998	-0.855732302388889
		0.310683117418241	0.459418527944445
		0.310809642978948	-0.573576139777777
NPM3	10360	0.310948454787638	0.396607882499998
LINC01116	375295	0.311089048770558	-0.649440808777777
FAM170A	340069	0.311101951821518	-0.357075302444445
LRRC39	127495	0.31118369734956	0.66546027788889
OR4M1///OR4M2	441670///390538	0.31119230328561	0.466012348722223
PCYT2	5833	0.31119230328561	-0.422371788444444
ATAD3A	55210	0.311251988604538	0.360756346444445
TOR1AIP1	26092	0.311402412124527	0.781952501000001
		0.311460557323217	0.522489103944444
NDST2	8509	0.311460557323217	0.306894361555554
SLC26A6	65010	0.311460557323217	0.375627326666664
KCTD7	154881	0.31148378808361	0.559474954333334
IQCC	55721	0.31148378808361	0.449967453277778
TUBB8	347688	0.31148378808361	0.589833337111112
NDUFA8	4702	0.311523533968598	-0.580267095166668
		0.311557636627985	-0.313070274333334
		0.311569894279725	-0.362551141055556
COL6A5	256076	0.311577299403903	0.646341620277778
MAP4	4134	0.311580920803199	-0.33841475838889
		0.311590808599957	-0.398011283444445
SGO2	151246	0.311616639482172	0.731412324111111
MCHR2	84539	0.311736062874179	-0.397927788944443
BRD4	23476	0.311773594345727	0.538047859944444
		0.311818904335196	-0.274205126333333
		0.311818904335196	-0.837672788055557
		0.311831423996495	-0.561574527166667
		0.311870939441984	-0.712527290944447
ADAT3	113179	0.311977919166449	0.342801543499998
MARVELD1	83742	0.312024562019955	-0.519404688111112
TANGO6	79613	0.312024562019955	0.442428306277778
PIGW	284098	0.31209075639858	0.610645142111109
XKR8	55113	0.312129663638955	0.490427761333334
ECE1	1889	0.312141646947711	0.555340476777777
SNRPD1	6632	0.312394693317465	-0.514371265111111
		0.31247658957594	-0.252142486833333
TSR1	55720	0.312578378436513	0.4577637685
TMEM102	284114	0.312613044794653	-0.607612288722222
PABPC4	8761	0.312658288894424	0.372774128166665
APAF1	317	0.312709631276252	0.716418361944442
REXO1L1P	254958	0.312726852466544	0.558229651944444
GPR27	2850	0.312839860426804	0.480199382555556
		0.312900287402935	0.781512115499999
NUMBL	9253	0.312990258895769	-0.349570185944446
		0.313174838371193	-0.493621944666668
CCDC170	80129	0.313174838371193	0.596972075555556
MEIG1	644890	0.313180713279711	-0.30576124
		0.313191625268032	0.692510200055557
		0.313191625268032	-0.383627871333335
ZPBP	11055	0.31319222324757	0.403611801444446
CCDC53	51019	0.313245758109027	0.887508431333334
CCL4L1///CCL4L2///CCL4///CCL4L1	388372///9560///6351///388372	0.313279734347996	0.890420552833334
OR5M3	219482	0.313382880153625	0.371393977944444
C17orf74	201243	0.313490118256684	0.432663509277778
CDC14C	168448	0.313525391693733	-0.722914611
SNORD52	26797	0.313579552001432	0.724667898777779
GNG5	2787	0.313687292602414	0.525471953222223
		0.313727267268276	0.823266551499999
GOLGA4	2803	0.313727267268276	0.4509622205
ZNF681	148213	0.313747248269328	-0.881643643777778
		0.313756654048568	-0.404109968444445
WDR43	23160	0.313816885800252	0.452382883388887
		0.313937883495522	-0.582216409444444
C10orf76	79591	0.313980231912063	0.602911394333336
RNU6ATAC	100151684	0.31404287227416	0.606616722
ABCB5	340273	0.314277422300068	-0.346466787555555
CNEP1R1	255919	0.314295295486467	0.432194004222222
POLK	51426	0.314319022969825	0.608131807055555
BAIAP2L1	55971	0.314473766042967	0.500055741722223
HIST1H3C	8352	0.314484181614524	-0.729874143833333
		0.314484181614524	0.766367780500001
ERAL1	26284	0.314484181614524	0.677208517055558
ATRN	8455	0.314484181614524	0.383760857555555
MRPS12	6183	0.314484181614524	0.5130442845
		0.314502530479236	-0.886613505777775
NFYB	4801	0.314502530479236	-0.901428582222223
NME7	29922	0.314502530479236	-0.578947942222224
MIR196A1	406972	0.314502530479236	-0.430444779000001
		0.314502530479236	-0.518546155666668
TMEM11	8834	0.314502530479236	0.532191830222223
HPS1	3257	0.314570593217982	0.333304976055555
LINC01356	100996702	0.314605794999479	0.600349467555555
CYP11B1	1584	0.314635251804273	0.409483566111111
		0.314636462662639	-0.50521998888889
SUPT16H	11198	0.314711129739522	0.459363960333329
MAPK6	5597	0.314798074510898	0.673652988722225
RNF115	27246	0.314798074510898	0.746319058833333
KCNT1	57582	0.314905943966816	0.431804636444444
		0.314905943966816	-1.01286581822222
		0.314931143062218	-0.192376765777778
SEPT5-GP1BB///GP1BB	100526833///2812	0.314931143062218	-0.606726823000001
		0.314931143062218	-0.379122143111112
		0.314931143062218	-0.21363844811111
CAPN12	147968	0.314931143062218	0.36539246461111
SFT2D2	375035	0.314931143062218	0.397560309833338
PRSS30P	124221	0.314972889117775	-0.396566639777779
LIPH	200879	0.314981676917666	0.51734777061111
H3F3AP4///H3F3A	440926///3020	0.314981676917666	-0.333172727777779
		0.314981676917666	0.589836610444443
SPATA31D5P	347127	0.315071466853083	0.421263387555556
ANXA2	302	0.315112900068056	0.706029339055554
		0.315112900068056	-0.770724692055558
		0.315112900068056	-1.00813309088889
		0.315112900068056	-1.07083940161111
PTPRM	5797	0.315112900068056	-1.110689117
		0.315112900068056	0.460240245166667
		0.315171201054158	-0.990811182833333
TNFRSF19	55504	0.315246571483274	0.663004148333332
		0.315418059087075	-0.669422899833332
UBE2J1	51465	0.31552832685813	0.697957865055555
OR2C3	81472	0.315585199865719	-0.318168083277777
FRMD4B	23150	0.315661001913731	-0.998599532611111
PNOC	5368	0.315661001913731	0.49158815038889
ATOX1	475	0.315691036201686	0.271039273666667
ZNF197	10168	0.315691036201686	-0.586946907222223
LOC100506990	100506990	0.315691036201686	-0.703641541
PCMTD1	115294	0.315691036201686	-0.556273762333333
		0.315755589805025	-0.858259896666669
KCNT2	343450	0.315802029266078	-0.250131205444444
CCDC47	57003	0.315824137676976	0.56499969761111
		0.315846581919955	0.374655434944444
		0.315846581919955	-0.512335082777778
MECP2	4204	0.315846581919955	-0.381457531277779
MAMLD1	10046	0.316020748920006	0.439423072166668
HOPX	84525	0.316134657538503	-0.494507012555555
DEFB107B///DEFB107A	503614///245910	0.316141589895159	-0.270852076388889
PPM1K	152926	0.316152502653168	-0.794099595555555
FMO9P	116123	0.316152502653168	-0.361790536888888
		0.316410716852621	-0.257374766833333
SEC24A	10802	0.316410716852621	0.554321951777779
DMRTC2	63946	0.316528801475454	0.390594427611109
KLHL29	114818	0.316692135233142	0.433310101111112
SNORA14B	677802	0.316692135233142	-0.888435305499999
TIFA	92610	0.316692135233142	-0.672375600888891
		0.316692135233142	-0.256562801888889
CLK1	1195	0.316692135233142	-0.485643825611112
		0.316692135233142	-0.198794294777777
BID	637	0.316843489713532	0.653554347444443
		0.317052689347079	0.716798793833333
CD37	951	0.317080785133059	-0.35628416166667
GSTT1	2952	0.317193825744919	-0.817938312388889
GZMH	2999	0.317227199746209	0.680421004333335
		0.317390083024269	-0.548920973722221
MRPS31P5	100887750	0.317746890997234	-0.600498121777776
		0.317782558844941	0.608261253722223
LPAR6	10161	0.317853962235316	1.27701452977778
LINC00326	285735	0.317992464496064	-0.324550014055555
GOLPH3L	55204	0.318088726987271	-0.634345373055555
		0.318099122710547	-0.759444639166666
NADK2	133686	0.318099122710547	-0.569463988666667
HMGN2	3151	0.318099122710547	0.652990127166667
		0.318099122710547	0.968001047277777
		0.318099122710547	0.552294792833334
TTBK2	146057	0.318107924528512	-0.365175750222221
HSD3B1	3283	0.318107924528512	-0.361912272388889
LDHA	3939	0.318151124546618	0.500073895555557
BPESC1	60467	0.31827928161053	0.386442234111111
TBX10	347853	0.3183196997671	-0.369916989388887
TP63	8626	0.318339287276055	0.67939823038889
MED30	90390	0.318359428130397	0.798196756555558
IRS1	3667	0.318359428130397	0.30869822911111
BBX	56987	0.318389731105315	0.521402005833337
WNT3A	89780	0.318391010847179	0.368409981944446
FAM76A	199870	0.318391010847179	0.357571678222222
		0.318426036257579	-0.51916712888889
CBLN2	147381	0.318457280358946	0.646373806
GTF2A2	2958	0.318457280358946	1.22013396716667
FGL1	2267	0.318457280358946	-0.288231163277779
		0.318457280358946	1.32895120233333
		0.318457280358946	-1.10576747255555
UHRF1BP1L	23074	0.318525947828447	0.469558610944448
NPIPB9///NPIPB5///NPIPB6///PDXDC2P///NPIPB3	100507607///100132247///728741///283970///23117	0.318581529545749	-1.11122668466667
EEF2K	29904	0.318581529545749	0.570856375500001
POR	5447	0.318581529545749	0.478521143055555
CYP7A1	1581	0.318602382283633	0.262363289333334
FBXL3	26224	0.318683103602432	-0.491479445944444
APLP1	333	0.318753724064172	0.344770364277779
SLC2A13	114134	0.318753724064172	0.518819142833334
RFC3	5983	0.318753724064172	0.619281964388887
		0.318753724064172	-0.194260406777777
		0.318753724064172	0.782897088444445
SPATA7	55812	0.318753724064172	-0.433938174444443
SHARPIN	81858	0.31877813809086	0.372509986277777
		0.318913998081515	-1.19186067105555
USP16	10600	0.318915743593489	0.476177810944447
		0.318915743593489	-0.466656111944444
SPDL1	54908	0.318915743593489	0.965087336555556
LOC101926933///LIMD1-AS1	101926933///644714	0.31891962454908	0.895654075888889
CDKN3	1033	0.318957924585804	0.82908162611111
		0.319048437417621	0.80200811088889
		0.319237389645421	-0.453611683333333
ZCCHC14	23174	0.319283472220627	-0.409816671166667
TMSB4Y	9087	0.319283472220627	-0.557156670555557
		0.319341574020362	0.722448527833334
PHACTR3	116154	0.319671620364206	0.358926290833335
ITGBL1	9358	0.319707574128291	-0.393885689555557
MRPS11	64963	0.319730678171123	1.05885233138889
DVL2	1856	0.319730678171123	-0.664042694666668
POLDIP3	84271	0.320043700072455	0.501286905222221
ST3GAL2	6483	0.320043700072455	0.451084223055555
TNS1	7145	0.320140832071916	-0.518568794222222
H6PD	9563	0.320187035284192	0.37957626588889
MYH16	84176	0.320248530999422	0.372981143388888
		0.320296688809943	-0.688917782833332
NDUFA9	4704	0.320337930747983	0.337800615444445
RASSF8	11228	0.3204509406878	-0.709344262166668
SNTA1	6640	0.320463073380981	-0.458529715999999
UPB1	51733	0.320526865717171	0.515227202888889
CTDSPL2	51496	0.320584224015739	0.532330638555555
ZNF419	79744	0.320748860501631	-0.542853826666668
MTBP	27085	0.320748860501631	0.59151659838889
		0.320748860501631	-0.389854982555558
ECD	11319	0.320748860501631	0.641493880444442
		0.320761391791356	0.212663320666668
LGI3	203190	0.320761391791356	0.419422904722222
RPAP1	26015	0.320824734325095	0.336375738611111
		0.321067472296207	0.659842358055555
LDLRAD1	388633	0.32109435751424	0.303289407222221
		0.321150442362223	-0.767234704166667
C1orf115	79762	0.321171666503507	-0.436112624277779
		0.321203915443838	0.73956545988889
ABLIM3	22885	0.321203915443838	0.392256921333334
FNDC4	64838	0.321339641315354	0.48617824988889
TBC1D30	23329	0.321339641315354	0.435137879111112
LPAR3	23566	0.32170535652227	0.763153830666666
		0.32179052774349	-0.206967490444445
MRPL22	29093	0.322100792929201	0.706643021333333
		0.322207885716838	-0.571195387055555
SLC27A4	10999	0.322350467574525	0.433239466888889
		0.322350467574525	1.32932141938889
		0.322387446801989	-1.06739021655556
		0.322410811499765	0.660940966388887
GPR75-ASB3///ASB3	100302652///51130	0.322418603674833	-0.403350182333334
		0.322423411488066	-1.26035033605556
TSPAN3	10099	0.322423411488066	-0.815640891277777
		0.322492336472058	0.659588717166665
DTHD1	401124	0.322569259995351	0.642194391777778
GOLGA8DP///GOLGA8F///GOLGA8CP///GOLGA8S///GOLGA8N///GOLGA8EP///GOLGA8G	100132979///100132565///729786///653061///643699///390535///283768	0.32257641648818	0.78507378488889
NSUN5	55695	0.322650961956845	-0.454587109444446
USP32	84669	0.322737446671494	0.545110039777778
CACNA1D	776	0.322741126934267	0.450456095444445
		0.322780579069834	-0.561294823388887
TGM1	7051	0.322780579069834	0.406616253888889
		0.322780579069834	0.466748908555556
OR6T1	219874	0.322836523411485	-0.43433483138889
ACOT2	10965	0.322860144511106	-0.467296307999998
USH2A	7399	0.323028480378982	0.205945298999999
		0.323047262843228	-0.996067682166666
LOC692247	692247	0.323047262843228	0.286906582833335
FAM177B	400823	0.323047262843228	0.360175577777778
BCAR3	8412	0.323047262843228	0.356199709388888
CCDC71	64925	0.32308477941999	-0.359189559333333
		0.323163928663219	-0.453142343888887
OR5M8	219484	0.323196462719126	-0.413743113055557
		0.323196462719126	-0.673465543722222
DHRSX///ZBED1	207063///9189	0.323224210504978	-0.399976487333332
OR13C8	138802	0.323335821443099	-0.278481491277779
		0.32335598125408	-0.864731579444443
ZKSCAN8	7745	0.323505944567664	0.586442944055557
		0.323643612437352	0.634936311500001
LOC100128816	100128816	0.323643612437352	0.502220757499998
		0.323643612437352	0.807629792999999
		0.323643612437352	0.369463553388889
		0.323696346923848	-1.15445237677778
		0.323812900784265	0.555352221277778
AGXT2	64902	0.323812900784265	0.301401370388888
HGSNAT	138050	0.323812900784265	-0.437168563111113
		0.323818119600768	-0.474797179222222
MINPP1	9562	0.323818119600768	-0.982229664888888
		0.323818119600768	0.212880523277777
		0.323896544297324	-0.359706757499999
POLR2M	81488	0.323896544297324	-0.644003993055554
MAT1A	4143	0.323957246093345	0.310221353722222
LYRM5	144363	0.323957246093345	-0.719002449055556
TUBB1	81027	0.323957246093345	1.19867308905556
		0.323957246093345	-0.325793493000001
HAP1	9001	0.323957246093345	-0.391787240166666
POTEB3///LOC102723502///POTEB///LOC100288966///POTEB2///POTEF///POTEJ///POTEM///POTEE///POTEKP///POTEG///POTEC///POTED///POTEH	102724631///102723502///100996331///100288966///100287399///728378///653781///641455///445582///440915///404785///388468///317754///23784	0.323957246093345	-0.260174194666667
EHD3	30845	0.324322873379315	-0.51770141938889
LYZL1	84569	0.324565074852181	-0.369052794277777
MIR217	406999	0.32457257344621	-0.24264035711111
		0.32471762795996	-1.2530123795
KRTAP5-5	439915	0.324747449805189	-0.557430489722223
MRPL2	51069	0.324747449805189	-0.675276151055556
TCTA	6988	0.324747449805189	-0.557290069833335
		0.324747449805189	-0.646924744333333
ZNF425	155054	0.324747449805189	-0.428381051333332
ACYP1	97	0.325023270549176	-0.609872464333333
TDRKH	11022	0.325023270549176	-0.491891274722222
IL17A	3605	0.325023270549176	-0.403551697833332
RP9P	441212	0.325103773386436	-0.471422363111111
		0.325178962086994	-0.742671438333335
SNORD116-9///SNORD116-8///SNORD116-7///SNORD116-5///SNORD116-3	100033421///100033420///100033419///100033417///100033415	0.325281328766659	-1.73855186394444
IQCA1	79781	0.325281328766659	-0.330100022055555
		0.325281328766659	-0.599756676055554
HLA-DQA2///HLA-DQA1	3118///3117	0.325306501621865	-0.787298297444447
		0.325377941628899	0.365474920333332
		0.325444279295842	0.611727276555555
		0.325444279295842	-0.507229942222223
SLC2A8	29988	0.325475629116832	0.407926595777777
		0.325638718300892	-0.343703443666666
TMC8	147138	0.325638718300892	-0.383633042222224
FBXO46	23403	0.32567129060008	-0.360559518944443
KLHL32	114792	0.325688257093486	-0.364672527555555
MAPK1	5594	0.325688257093486	0.453569703555559
		0.325688257093486	-0.903723919944444
OR13C9	286362	0.325721057636741	-0.338349877611111
CCKAR	886	0.325721057636741	0.506628718833334
OR4D5	219875	0.32589371278632	0.359353301666667
RALYL	138046	0.326032379238577	0.248502200722222
PAPD5	64282	0.326068285254461	0.94386263561111
CRMP1	1400	0.326080292220787	0.327500214111112
		0.326102861097249	0.518077458111111
FDCSP	260436	0.326139381825929	0.338733030722222
		0.326139381825929	-0.532216983611112
EMP2	2013	0.326139381825929	0.59263033188889
MTOR	2475	0.32618920818493	0.316757198166668
CLK2	1196	0.326260483029575	-0.358178052388888
C14orf132	56967	0.326272017506939	-0.433846346166666
UGT3A2	167127	0.326380899658891	0.686504661833335
		0.326393018266437	-0.508084708111111
COG8///PDF	84342///64146	0.326393018266437	-0.371842837444444
EIF3H	8667	0.326393018266437	-0.346441736111112
KRTAP5-9	3846	0.326482725781125	0.393055563888891
		0.326482725781125	0.609180452388888
LRRN4	164312	0.326482725781125	0.428366167444445
		0.326552965442441	-0.465380419499997
SNORD95	619570	0.326883685012178	-0.420507792333336
		0.326894782569577	-0.392091995111107
		0.326894782569577	-0.27859032
		0.326894782569577	0.488947177000001
		0.326894782569577	-0.456639132499998
GSK3B	2932	0.326899153973481	0.443974144833335
HOOK2	29911	0.327027981152896	-0.384049560666665
		0.327027981152896	-0.828925779333333
		0.327027981152896	-0.496881974777776
		0.327027981152896	0.421269562944444
		0.327165971804924	-0.267918280666666
ANKS3	124401	0.327331528010702	-0.326672352277778
CHRNA10	57053	0.327370207590247	0.381078042
TMED2	10959	0.327580838228604	0.483082272944442
		0.327816151659869	0.589511509888892
ATRX	546	0.327862842585631	-0.449306213277781
KCNK9	51305	0.327946263945284	0.391706441222222
IL6	3569	0.328001115189244	0.992143632833333
CMSS1	84319	0.328031528291557	1.13058136205556
A2ML1	144568	0.328031528291557	0.366828643888889
PGD	5226	0.328141363990958	0.413950823888895
		0.328298312518381	0.599128282388888
PIEZO2	63895	0.328298312518381	1.13454988322222
